Ablation,Ablation id,Solver mode,Newton damping,Newton steps,Line search,Regularization,Model,Load path,Metric,Metric label,Case mean,Case std,Case median,Case IQR,Cases,Case list
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,fem_newton_accepted_damping,Newton accepted damping,1,0,1,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,fem_newton_convergence_rate,Newton convergence rate,1,0,1,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,fem_newton_correction_relative_norm,Newton correction rel norm,1.68276,0.265337,1.15294,0.074415,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,fem_newton_failure_rate,Newton failure rate,0,0,0,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,fem_newton_final_residual_relative_rms,Newton final residual rel RMS,8.3898e-09,2.32805e-09,2.73314e-09,1.02105e-09,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,fem_newton_initial_residual_relative_rms,Newton initial residual rel RMS,13.5686,4.63515,10.14,3.86527,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,fem_newton_residual_decrease_fraction,Newton residual decrease,1,0,1,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,fem_newton_residual_ratio,Newton residual ratio,7.91619e-10,1.69897e-10,3.62225e-10,2.42785e-10,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,fem_newton_step_residual_decrease_fraction,Newton step residual decrease,0.995734,0.00131566,0.997212,0.000395,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,fem_residual_relative_rms,FEM residual rel RMS,14.4401,4.8787,10.6234,4.13415,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,fem_solver_linearized_residual_relative_rms,FEM tangent-solver rel RMS,247.937,186.935,168.134,177.795,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,qp_history_increment_relative_l2,QP history-inc rel L2,1.51429,0.154824,1.60054,0.13049,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,qp_history_relative_l2,QP history rel L2,1.52209,0.0656608,1.61973,0.07464,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,displacement_relative_l2,rollout disp rel L2,122.805,75.9816,94.4248,73.9617,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,fem_energy_relative_error,FEM energy rel err,40.0407,26.7628,17.7216,15.8763,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,fem_newton_accepted_damping,Newton accepted damping,1,0,1,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,fem_newton_convergence_rate,Newton convergence rate,1,0,1,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,fem_newton_correction_relative_norm,Newton correction rel norm,1.54429,0.308234,1.12731,0.257313,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,fem_newton_failure_rate,Newton failure rate,0,0,0,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
