seed,load_path,sparse_observation_relative_l2,rollout_displacement_relative_l2,material_parameter_relative_l2,material_parameter_mae,material_parameter_coverage_95,material_parameter_ece,material_parameter_nll,material_parameter_posterior_std,calibrated_material_parameter_coverage_95,calibrated_material_parameter_ece,calibrated_material_parameter_nll,calibrated_material_parameter_spread_scale,calibrated_material_parameter_posterior_std,history_relative_l2,history_final_relative_l2,history_coverage_95,history_ece,history_nll,history_posterior_std,calibrated_history_coverage_95,calibrated_history_ece,calibrated_history_nll,calibrated_history_spread_scale,calibrated_history_posterior_std,field_coverage_95,field_ece,field_nll,field_crps,field_sharpness,field_interval_width_95,calibrated_field_coverage_95,calibrated_field_ece,calibrated_field_nll,calibrated_field_crps,calibrated_field_sharpness,calibrated_field_interval_width_95,calibrated_field_spread_scale,posterior_calibration_num_calibration,posterior_calibration_num_test,inversion_final_loss
20260517,nonproportional,0.8760723472,0.8365400434,0.3306109607,6.024875164,0,0.7874999642,5994.688477,0.1016569734,1,0.212500006,1.644839048,379.6598206,63.31972504,0.8466197252,1.864390612,0.05544354767,0.7334173918,531546.9375,0.005539857782,0.8004032373,0.1298639178,3751.204834,10000,5.839136124,0.003255208489,0.7848551273,98101.48438,0.03002052568,3.385529999e-05,0.0001012878711,0.744140625,0.1377604008,3.10719943,0.0264429301,0.0480677709,0.1392255127,2290.234619,4,4,622.0302124
20260518,nonproportional,6.4691782,2.165068388,0.1321504265,2.216295242,0,0.7874999642,25517.98438,0.09848333895,1,0.1916666776,1.655000448,728.0096436,138.1210022,0.5725721121,1.017688751,0.08235886693,0.7057333589,244940.6719,0.000896233716,0.8225806355,0.1173890978,313.605896,10000,12.30600071,0.000325520843,0.7872152328,665710.125,0.07801347226,1.430488101e-05,4.144051491e-05,0.765299499,0.1218912601,-0.4807831645,0.09091808647,0.2100055069,0.6058353186,10000,4,4,21955.81641
20260519,nonproportional,0.7766375542,0.9094165564,0.2951317728,5.279087067,0.02083333395,0.7666666508,27147.13867,0.01794643328,1,0.1916666776,1.699797511,655.5097046,15.73290062,0.913850069,2.610867023,0.02177419327,0.7683467865,1337121.375,0.006182351615,0.8468750119,0.08881047368,6494.71582,10000,43.91081619,0.001790364622,0.7859944701,114550.1172,0.03133159876,3.819060657e-05,0.0001075566397,1,0.2107910216,0.05250733346,0.1761001945,0.5548853874,1.573596954,10000,4,4,655.7592163
20260520,nonproportional,0.8000106812,0.8815470338,0.2968232334,5.019963741,0.1041666716,0.7041666508,29617.10938,0.01618320867,1,0.1708333492,1.958530903,745.2678833,8.574669838,0.7010397315,0.9307624102,0.1077620983,0.6836063266,213029.4375,0.004818418529,0.7872983813,0.0934727937,2649.449219,10000,32.28469086,0.0009765625,0.7866455317,110051.8359,0.03074888512,1.853020876e-05,5.446887735e-05,0.8037109375,0.09324543178,-1.591025591,0.02486544475,0.04433874413,0.1359538436,8427.080078,4,4,1596.439453
20260521,nonproportional,1.486302972,1.340348244,0.3595536351,6.675702572,0,0.7874999642,41338.38281,0.01612615399,1,0.1708333492,1.253677249,674.8262939,11.28068924,0.9262138605,2.777452469,0.01013104804,0.7780871987,3447549.75,0.0008597393753,0.8345766068,0.116406247,3903.983887,10000,8.816337585,0.0008138021221,0.7868082523,244329.8438,0.05273973569,3.313604248e-05,0.0001006663515,0.9651693106,0.1523600668,-0.3837028444,0.09406928718,0.3465129137,1.063380837,10000,4,4,6576.391602
20260517,pre_stress,9.516334534,0.9378358722,0.3071785867,5.16089201,0.04166666791,0.7562500238,5802.711914,0.05800844729,0.9583333731,0.1187500358,0.7743805647,206.3633118,18.39221001,0.8131933212,0.6994303465,0.05176411197,0.7381930351,1136173.25,0.00157997827,0.8367943168,0.1149445623,1718.519897,10000,3.501909733,0.001790364622,0.7863199711,17134.98242,0.01447801851,2.014360871e-05,6.126712833e-05,0.8795573115,0.1100748628,0.1143420637,0.01657638513,0.04800447822,0.1474743187,3084.702881,4,4,502.0244446
20260518,pre_stress,52.58717346,6.76380682,0.1495561898,2.541030645,0,0.7874999642,52216.0625,0.007297805976,0.875,0.1166666597,1.03083086,479.2668762,3.252656698,0.8224473,0.7559998631,0.02872983739,0.7596900463,116491.2344,0.0006187148392,0.8271169066,0.125025183,2898.391602,10000,5.791057587,0,0.7874999642,891699.1875,0.09309200943,7.817427104e-06,2.236427645e-05,0.622721374,0.2442057133,-1.190891981,0.06097414345,0.08358826488,0.2328631878,10000,4,4,22724.86133
20260519,pre_stress,3.113676548,0.8943402171,0.3162449598,5.090445518,0.1041666716,0.6885416508,21351.39062,0.03509768471,0.9583333731,0.139583379,1.467713356,308.2308655,16.03526115,0.7427128553,0.6211881042,0.06129032001,0.7271547318,653625.875,0.001005138969,0.875302434,0.1224294305,1394.972534,10000,13.06552315,0.0006510416861,0.7870117426,15581.6875,0.01199819893,1.630057523e-05,4.774502304e-05,0.991861999,0.1705078483,-1.330526829,0.04466500133,0.1519728452,0.443279624,7884.743652,4,4,337.0499573
20260520,pre_stress,5.493108749,0.8593093157,0.307826072,5.282006264,0,0.7874999642,39274.55469,0.05454499647,0.75,0.2041666508,10.22849274,84.31208801,0.8530163765,0.9116268158,0.8188695312,0.0371975787,0.7519782782,1936448.125,0.0007673788932,0.7845765948,0.1343497932,20062.36719,10000,4.25319767,0.001302083372,0.7863606811,14384.30078,0.01189001091,8.153341696e-06,2.414107985e-05,0.935221374,0.1368001401,-1.512981176,0.03469221666,0.1250433624,0.3724703193,10000,4,4,351.4299927
20260521,pre_stress,1.958259583,2.020354986,0.3220833242,5.52357769,0,0.7874999642,20358.57617,0.01829437912,1,0.181250006,1.288522124,632.7247314,11.65313148,0.5546220541,0.2394691706,0.04017136991,0.7486265302,231873.8281,0.0006776475348,0.9520161152,0.1438004076,63.11035538,6647.069336,5.208091259,0.000325520843,0.7872152328,70266.53125,0.03038270399,3.909118095e-05,0.0001111923993,0.9342448115,0.08870443702,-1.988636374,0.02237297595,0.06034761667,0.1687558144,1531.120361,4,4,2850.073486
