load_path,metric,stat,recomputed_from_seed_json,summary_json,abs_diff,pass
random_amplitude,material_parameter_coverage_95,mean,0.0833333358169,0.0833333358169,0.000e+00,True
random_amplitude,material_parameter_coverage_95,std,0.102062075658,0.102062075658,0.000e+00,True
random_amplitude,material_parameter_coverage_95,median,0.0833333358169,0.0833333358169,0.000e+00,True
random_amplitude,material_parameter_coverage_95,iqr,0.0833333358169,0.0833333358169,0.000e+00,True
random_amplitude,calibrated_material_parameter_coverage_95,mean,1,1,0.000e+00,True
random_amplitude,calibrated_material_parameter_coverage_95,std,0,0,0.000e+00,True
random_amplitude,calibrated_material_parameter_coverage_95,median,1,1,0.000e+00,True
random_amplitude,calibrated_material_parameter_coverage_95,iqr,0,0,0.000e+00,True
random_amplitude,field_crps,mean,0.0257805548608,0.0257805548608,0.000e+00,True
random_amplitude,field_crps,std,0.00238912403839,0.00238912403839,0.000e+00,True
random_amplitude,field_crps,median,0.0252053616568,0.0252053616568,0.000e+00,True
random_amplitude,field_crps,iqr,0.00122312270105,0.00122312270105,0.000e+00,True
random_amplitude,calibrated_field_crps,mean,0.0384369265288,0.0384369265288,0.000e+00,True
random_amplitude,calibrated_field_crps,std,0.00870835215785,0.00870835215785,0.000e+00,True
random_amplitude,calibrated_field_crps,median,0.039054135792,0.039054135792,0.000e+00,True
random_amplitude,calibrated_field_crps,iqr,0.00965254195035,0.00965254195035,0.000e+00,True
