protocol,sparse_config,load_path,metric,stat,recomputed_from_seed_json,summary_json,abs_diff,rel_diff,pass
strict_path_ood,s2_t2,unload_reload,posterior_calibration_num_test,median,4,4,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,posterior_calibration_num_test,iqr,0,0,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,sparse_observation_relative_l2,mean,1042698062.58,1042698062.58,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,sparse_observation_relative_l2,std,1573719291.46,1573719291.46,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,sparse_observation_relative_l2,median,6.1711025238,6.1711025238,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,sparse_observation_relative_l2,iqr,1670736254.62,1670736254.62,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,rollout_displacement_relative_l2,mean,0.915730166435,0.915730166435,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,rollout_displacement_relative_l2,std,0.0331018344438,0.0331018344438,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,rollout_displacement_relative_l2,median,0.901291549206,0.901291549206,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,rollout_displacement_relative_l2,iqr,0.0273627638817,0.0273627638817,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,material_parameter_relative_l2,mean,0.190209370852,0.190209370852,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,material_parameter_relative_l2,std,0.0515491263175,0.0515491263175,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,material_parameter_relative_l2,median,0.169957667589,0.169957667589,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,material_parameter_relative_l2,iqr,0.0761972665787,0.0761972665787,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,material_parameter_coverage_95,mean,0.137500001118,0.137500001118,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,material_parameter_coverage_95,std,0.206028921504,0.206028921504,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,material_parameter_coverage_95,median,0.0833333358169,0.0833333358169,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,material_parameter_coverage_95,iqr,0.0625000018626,0.0625000018626,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,material_parameter_ece,mean,0.684374982119,0.684374982119,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,material_parameter_ece,std,0.170464533228,0.170464533228,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,material_parameter_ece,median,0.745833277702,0.745833277702,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,material_parameter_ece,iqr,0.0260416269302,0.0260416269302,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,material_parameter_nll,mean,29939.5870117,29939.5870117,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,material_parameter_nll,std,33613.3130406,33613.3130406,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,material_parameter_nll,median,13355.1591797,13355.1591797,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,material_parameter_nll,iqr,39122.1567383,39122.1567383,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,calibrated_material_parameter_coverage_95,mean,0.941666674614,0.941666674614,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,calibrated_material_parameter_coverage_95,std,0.0912870833955,0.0912870833955,1.388e-17,1.388e-17,True
strict_path_ood,s2_t2,cyclic,calibrated_material_parameter_coverage_95,median,1,1,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,calibrated_material_parameter_coverage_95,iqr,0.0833333134651,0.0833333134651,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,calibrated_material_parameter_ece,mean,0.125,0.125,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,calibrated_material_parameter_ece,std,0.034736117212,0.034736117212,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,calibrated_material_parameter_ece,median,0.116666659713,0.116666659713,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,calibrated_material_parameter_ece,iqr,0.0500000268221,0.0500000268221,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,calibrated_material_parameter_nll,mean,5.88547029495,5.88547029495,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,calibrated_material_parameter_nll,std,6.90725800133,6.90725800133,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,calibrated_material_parameter_nll,median,2.06444787979,2.06444787979,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,calibrated_material_parameter_nll,iqr,4.64570569992,4.64570569992,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,calibrated_material_parameter_spread_scale,mean,959.055319977,959.055319977,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,calibrated_material_parameter_spread_scale,std,1309.1134094,1309.1134094,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,calibrated_material_parameter_spread_scale,median,218.641769409,218.641769409,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,cyclic,calibrated_material_parameter_spread_scale,iqr,1192.43268585,1192.43268585,0.000e+00,0.000e+00,True
